Codigo_Sucursal,Fecha_Venta,Codigo_Producto,Unidades_Vendidas,Total
11,02/01/2020,P105400,486,1324.5
12,02/01/2020,P407780,80,218
1,02/01/2020,P407780,366,1000.5
1,02/01/2020,P185447,504,302.4
6,02/01/2020,P958288,1452,1102.8
11,02/01/2020,P407780,1440,3920
12,02/01/2020,P513865,24,72
9,02/01/2020,P105400,114,325.8
9,02/01/2020,P407780,171,480.1
12,02/01/2020,P165627,42,33.6
4,02/01/2020,P185447,24,17.65
4,02/01/2020,P165627,112,84
1,02/01/2020,P513865,4,12
4,02/01/2020,P407780,376,1028.6
5,02/01/2020,P407780,516,1405
6,02/01/2020,P513865,723,2254.75
1,02/01/2020,P105400,294,804.5
5,02/01/2020,P185447,156,93.6
12,02/01/2020,P185447,154,94.8
6,02/01/2020,P407780,258,703.5
6,02/01/2020,P185447,212,129.6
12,02/01/2020,P105400,173,473.75
1,02/01/2020,P165627,12,9
12,02/01/2020,P958288,42,33.6
11,02/01/2020,P165627,60,49.2
11,02/01/2020,P185447,324,194.4
5,02/01/2020,P958288,10,11
6,02/01/2020,P105400,366,996.5
6,02/01/2020,P165627,696,528.6
5,03/01/2020,P407780,26,73.8
1,03/01/2020,P105400,432,1186
1,03/01/2020,P513865,24,71.3
6,03/01/2020,P165627,384,317.4
12,03/01/2020,P185447,48,28.8
6,03/01/2020,P407780,174,474.5
12,03/01/2020,P407780,152,416
1,03/01/2020,P407780,648,1780
1,03/01/2020,P958288,300,225
4,03/01/2020,P165627,132,103.2
4,03/01/2020,P958288,84,67.2
6,03/01/2020,P105400,102,278.5
6,03/01/2020,P041436,36,136.8
5,03/01/2020,P105400,168,458
11,03/01/2020,P165627,24,26.4
11,03/01/2020,P407780,12,33
11,03/01/2020,P958288,12,13.2
6,03/01/2020,P513865,6,18
9,03/01/2020,P513865,60,196.5
9,03/01/2020,P105400,432,1203.6
12,03/01/2020,P165627,162,124.15
4,03/01/2020,P269262,360,1247.5
4,03/01/2020,P407780,372,1013
5,03/01/2020,P185447,360,216
12,03/01/2020,P958288,54,43.15
5,03/01/2020,P165627,456,357.15
6,03/01/2020,P958288,324,271.2
11,03/01/2020,P105400,36,99
1,03/01/2020,P185447,12,9.6
4,03/01/2020,P105400,78,219.4
5,03/01/2020,P958288,96,77.8
9,03/01/2020,P407780,360,1000
12,03/01/2020,P105400,158,432.5
12,03/01/2020,P513865,68,202.6
1,03/01/2020,P165627,12,13.2
11,03/01/2020,P185447,60,36
11,04/01/2020,P185447,48,31.2
1,04/01/2020,P105400,602,1657.8
5,04/01/2020,P105400,12,39.9
11,04/01/2020,P105400,144,392
6,04/01/2020,P407780,84,229
9,04/01/2020,P407780,72,199.6
12,04/01/2020,P165627,132,99
6,04/01/2020,P513865,24,71.3
11,04/01/2020,P165627,36,27
5,04/01/2020,P185447,1248,741.6
6,04/01/2020,P958288,12,13.2
1,04/01/2020,P407780,324,891
1,04/01/2020,P185447,12,9.6
4,04/01/2020,P407780,1080,2940
4,04/01/2020,P165627,12,9
6,04/01/2020,P165627,24,22.2
9,04/01/2020,P105400,360,1004
6,04/01/2020,P185447,36,21.6
11,04/01/2020,P407780,216,588
4,04/01/2020,P958288,200,198
5,04/01/2020,P165627,900,670.5
1,04/01/2020,P958288,312,234
1,04/01/2020,P513865,30,90
1,04/01/2020,P165627,338,279.2
5,04/01/2020,P958288,240,180
12,04/01/2020,P269262,4,14
12,04/01/2020,P105400,136,373
12,04/01/2020,P407780,100,273
12,04/01/2020,P185447,24,14.4
12,06/01/2020,P185447,102,62.4
6,06/01/2020,P407780,264,720
12,06/01/2020,P105400,152,416
1,06/01/2020,P513865,64,195.4
5,06/01/2020,P165627,644,541.8
11,06/01/2020,P105400,92,251
11,06/01/2020,P513865,54,160.6
1,06/01/2020,P407780,648,1774
1,06/01/2020,P165627,642,483.6
5,06/01/2020,P513865,156,481
12,06/01/2020,P958288,144,108
5,06/01/2020,P958288,452,397.8
6,06/01/2020,P513865,12,36
9,06/01/2020,P513865,1,4.3
11,06/01/2020,P958288,48,36
6,06/01/2020,P105400,12,39.9
9,06/01/2020,P407780,2178,6098.4
4,06/01/2020,P105400,288,792
11,06/01/2020,P407780,14,38.5
4,06/01/2020,P958288,60,57.6
11,06/01/2020,P185447,96,57.6
6,06/01/2020,P958288,60,49.2
4,06/01/2020,P407780,288,792
12,06/01/2020,P407780,104,284
6,06/01/2020,P165627,756,575.4
9,06/01/2020,P105400,456,1264.8
12,06/01/2020,P165627,294,222.6
1,06/01/2020,P105400,960,2630
11,06/01/2020,P165627,120,90
5,06/01/2020,P105400,216,588
5,06/01/2020,P407780,1344,3680
11,06/01/2020,P041436,4,12
1,06/01/2020,P958288,24,18
4,06/01/2020,P513865,24,71.3
5,06/01/2020,P185447,2520,1497.6
4,06/01/2020,P165627,672,520.8
1,06/01/2020,P185447,240,144
11,07/01/2020,P513865,228,677.7
1,07/01/2020,P958288,240,180
9,07/01/2020,P105400,648,1814.4
1,07/01/2020,P105400,216,592
4,07/01/2020,P165627,12,13.2
5,07/01/2020,P958288,60,46.2
11,07/01/2020,P958288,24,18
9,07/01/2020,P165627,336,252
1,07/01/2020,P513865,36,108
4,07/01/2020,P185447,348,208.8
4,07/01/2020,P513865,24,71.3
6,07/01/2020,P958288,12,13.2
5,07/01/2020,P105400,216,609.2
5,07/01/2020,P185447,420,254.4
11,07/01/2020,P105400,192,524
6,07/01/2020,P105400,12,33
6,07/01/2020,P041436,12,36
4,07/01/2020,P958288,36,27
12,07/01/2020,P105400,202,553.5
1,07/01/2020,P407780,678,1863.4
4,07/01/2020,P407780,372,1080.7
9,07/01/2020,P185447,1200,712.8
12,07/01/2020,P513865,48,144
1,07/01/2020,P185447,1056,632.4
9,07/01/2020,P407780,288,806.4
12,07/01/2020,P407780,136,372
6,07/01/2020,P165627,12,13.2
5,07/01/2020,P513865,383,1138.5
11,07/01/2020,P407780,84,229
12,07/01/2020,P958288,124,93
5,07/01/2020,P407780,1800,5028.8
11,07/01/2020,P185447,264,158.4
12,07/01/2020,P185447,206,125.2
1,07/01/2020,P165627,600,445.5
6,07/01/2020,P407780,492,1345
12,07/01/2020,P165627,56,49
5,07/01/2020,P165627,648,481.5
11,07/01/2020,P165627,36,27
1,08/01/2020,P165627,198,153
6,08/01/2020,P513865,480,1440
1,08/01/2020,P185447,180,108
9,08/01/2020,P407780,6,23.4
1,08/01/2020,P407780,468,1281
4,08/01/2020,P407780,13,36.9
4,08/01/2020,P165627,6,6.6
6,08/01/2020,P105400,18,49.5
6,08/01/2020,P041436,16,48
6,08/01/2020,P958288,132,103.2
9,08/01/2020,P105400,1842,5114.2
9,08/01/2020,P958288,264,198
5,08/01/2020,P165627,608,454.3
5,08/01/2020,P407780,1068,2960
11,08/01/2020,P407780,1368,3724
11,08/01/2020,P165627,12,9
1,08/01/2020,P105400,306,835.5
12,08/01/2020,P513865,3,12.6
12,08/01/2020,P165627,120,90
11,08/01/2020,P513865,120,356.5
12,08/01/2020,P958288,24,18
5,08/01/2020,P185447,10,8
5,08/01/2020,P105400,744,2035.6
4,08/01/2020,P513865,48,142.6
6,08/01/2020,P165627,132,103.2
11,08/01/2020,P958288,12,9
4,08/01/2020,P269262,6,21
4,08/01/2020,P185447,144,86.4
6,08/01/2020,P407780,4,11
9,08/01/2020,P165627,302,231.5
12,08/01/2020,P105400,711,1943.15
12,08/01/2020,P407780,192,524
5,08/01/2020,P513865,48,142.6
1,08/01/2020,P958288,114,88.8
11,08/01/2020,P105400,2016,5488
11,08/01/2020,P185447,60,36
12,08/01/2020,P185447,132,79.2
1,09/01/2020,P185447,240,175.2
9,09/01/2020,P407780,6,16.8
6,09/01/2020,P958288,600,450
1,09/01/2020,P407780,378,1039.5
5,09/01/2020,P958288,800,619.4
6,09/01/2020,P185447,36,23.4
9,09/01/2020,P185447,12,10.8
12,09/01/2020,P185447,60,36
5,09/01/2020,P165627,861,665.15
12,09/01/2020,P105400,77,211.75
5,09/01/2020,P513865,174,538.5
1,09/01/2020,P958288,12,13.2
5,09/01/2020,P407780,438,1192.5
11,09/01/2020,P407780,288,792
11,09/01/2020,P165627,60,45
1,09/01/2020,P513865,24,71.3
4,09/01/2020,P513865,12,50.4
6,09/01/2020,P407780,384,1056
4,09/01/2020,P185447,36,21.6
12,09/01/2020,P407780,16,44
12,09/01/2020,P165627,58,47
4,09/01/2020,P407780,144,396
12,09/01/2020,P513865,24,71.3
6,09/01/2020,P105400,40,110
11,09/01/2020,P513865,66,196.6
11,09/01/2020,P185447,12,7.2
1,09/01/2020,P105400,408,1122
1,09/01/2020,P165627,192,148.2
9,09/01/2020,P513865,1,3.05
11,09/01/2020,P958288,120,90
4,09/01/2020,P165627,24,18
5,09/01/2020,P105400,234,637.5
9,09/01/2020,P165627,72,58.2
9,09/01/2020,P958288,12,13.2
6,09/01/2020,P041436,84,249.85
9,09/01/2020,P105400,612,1713.6
6,09/01/2020,P513865,1896,5685.2
4,09/01/2020,P958288,24,18
5,09/01/2020,P185447,72,43.2
11,09/01/2020,P105400,300,825
1,10/01/2020,P185447,240,144
4,10/01/2020,P269262,7,24.5
4,10/01/2020,P185447,24,14.4
5,10/01/2020,P958288,12,9
6,10/01/2020,P165627,180,160.1
6,10/01/2020,P185447,2216,1534.4
12,10/01/2020,P165627,780,610.2
6,10/01/2020,P958288,24,18
9,10/01/2020,P105400,288,806.4
12,10/01/2020,P958288,372,279
4,10/01/2020,P407780,342,940.5
5,10/01/2020,P105400,312,856
5,10/01/2020,P513865,48,142.6
11,10/01/2020,P407780,78,212.5
1,10/01/2020,P105400,529,1469.7
1,10/01/2020,P165627,900,683.4
9,10/01/2020,P513865,4,17.2
12,10/01/2020,P407780,138,377.5
4,10/01/2020,P513865,120,356.5
1,10/01/2020,P513865,14,58.8
11,10/01/2020,P958288,12,13.2
4,10/01/2020,P958288,96,72
5,10/01/2020,P185447,124,74.4
11,10/01/2020,P185447,72,43.2
5,10/01/2020,P165627,24,18
11,10/01/2020,P105400,154,424.1
6,10/01/2020,P105400,12,33
1,10/01/2020,P407780,228,625
4,10/01/2020,P165627,168,126
12,10/01/2020,P513865,36,107.3
6,10/01/2020,P407780,360,990
12,10/01/2020,P185447,372,223.2
5,10/01/2020,P407780,342,938.5
1,10/01/2020,P958288,228,175.2
11,10/01/2020,P165627,612,463.2
12,10/01/2020,P105400,196,537
11,10/01/2020,P513865,24,71.3
12,11/01/2020,P513865,48,142.6
9,11/01/2020,P105400,180,504
1,11/01/2020,P105400,312,858
1,11/01/2020,P185447,252,158.4
4,11/01/2020,P165627,48,36
11,11/01/2020,P041436,12,37.1
12,11/01/2020,P165627,204,157.2
5,11/01/2020,P185447,24,16.8
6,11/01/2020,P185447,180,112.8
5,11/01/2020,P407780,1224,3332
5,11/01/2020,P165627,24,18
6,11/01/2020,P513865,24,100.8
9,11/01/2020,P513865,12,51.6
11,11/01/2020,P165627,12,9
4,11/01/2020,P513865,24,71.3
11,11/01/2020,P958288,24,18
12,11/01/2020,P185447,96,60
1,11/01/2020,P407780,480,1316
1,11/01/2020,P165627,12,13.2
4,11/01/2020,P407780,96,262
6,11/01/2020,P165627,624,473.4
9,11/01/2020,P165627,36,30.6
11,11/01/2020,P513865,24,73.45
11,11/01/2020,P185447,24,19.2
12,11/01/2020,P105400,112,306
12,11/01/2020,P407780,16,44
12,11/01/2020,P958288,72,54
4,11/01/2020,P185447,12,7.2
5,11/01/2020,P105400,144,396
6,11/01/2020,P958288,24,23.4
11,11/01/2020,P105400,36,101.95
1,11/01/2020,P958288,192,144
4,11/01/2020,P958288,120,119.4
11,11/01/2020,P407780,24,68
1,13/01/2020,P958288,336,256.2
6,13/01/2020,P407780,84,242.6
6,13/01/2020,P165627,352,274.25
11,13/01/2020,P185447,84,52.8
1,13/01/2020,P105400,1086,2978.5
11,13/01/2020,P165627,24,18
5,13/01/2020,P958288,36,27
6,13/01/2020,P185447,12,7.4
12,13/01/2020,P165627,123,93.3
9,13/01/2020,P958288,180,135
4,13/01/2020,P407780,30,82.5
4,13/01/2020,P165627,72,71.35
4,13/01/2020,P513865,63,191.2
4,13/01/2020,P958288,60,58.15
6,13/01/2020,P105400,192,526
9,13/01/2020,P165627,420,315
12,13/01/2020,P105400,294,806.5
12,13/01/2020,P185447,270,162
5,13/01/2020,P407780,432,1182.8
11,13/01/2020,P407780,144,392
4,13/01/2020,P185447,72,43.2
11,13/01/2020,P958288,12,9
5,13/01/2020,P105400,168,462.8
12,13/01/2020,P407780,210,575.5
5,13/01/2020,P185447,492,300
9,13/01/2020,P105400,72,199.6
5,13/01/2020,P513865,120,356.5
5,13/01/2020,P165627,96,93
6,13/01/2020,P513865,168,506.2
4,13/01/2020,P105400,6,23.4
12,13/01/2020,P513865,42,132.5
1,13/01/2020,P407780,1302,3566.5
12,13/01/2020,P958288,3,3.3
1,13/01/2020,P165627,336,252
6,13/01/2020,P958288,220,175
11,13/01/2020,P105400,156,425
1,14/01/2020,P958288,36,27
4,14/01/2020,P958288,660,490.5
6,14/01/2020,P105400,18,49.5
11,14/01/2020,P407780,144,392
6,14/01/2020,P407780,114,313.5
6,14/01/2020,P165627,276,207
9,14/01/2020,P165627,25,27.5
5,14/01/2020,P105400,183,502.45
12,14/01/2020,P407780,71,195.25
4,14/01/2020,P407780,180,491
4,14/01/2020,P105400,3,11.7
6,14/01/2020,P958288,96,76.2
5,14/01/2020,P407780,1269,3467.35
5,14/01/2020,P165627,1134,856.5
11,14/01/2020,P185447,36,21.6
11,14/01/2020,P165627,612,459
11,14/01/2020,P513865,24,71.3
12,14/01/2020,P165627,84,63
12,14/01/2020,P185447,60,37.4
9,14/01/2020,P513865,100,430
12,14/01/2020,P958288,12,9
12,14/01/2020,P513865,84,264.3
5,14/01/2020,P513865,24,71.3
9,14/01/2020,P105400,144,399.2
12,14/01/2020,P105400,65,182.2
5,14/01/2020,P958288,1056,787.5
11,14/01/2020,P105400,156,425
11,14/01/2020,P958288,600,450
1,14/01/2020,P105400,300,825
1,14/01/2020,P407780,1032,2818
1,14/01/2020,P165627,228,171
4,14/01/2020,P165627,660,490.5
1,14/01/2020,P185447,708,427.2
4,14/01/2020,P185447,60,36
6,15/01/2020,P407780,72,196
9,15/01/2020,P105400,432,1207.6
12,15/01/2020,P105400,400,1094
1,15/01/2020,P165627,792,602.4
4,15/01/2020,P407780,216,590
12,15/01/2020,P958288,612,458.7
5,15/01/2020,P105400,1704,4693.8
5,15/01/2020,P407780,1212,3334.8
12,15/01/2020,P185447,120,74.4
9,15/01/2020,P165627,145,109.1
12,15/01/2020,P165627,600,445.5
5,15/01/2020,P185447,126,76.8
4,15/01/2020,P165627,276,207
9,15/01/2020,P958288,145,109.1
4,15/01/2020,P185447,12,9.6
6,15/01/2020,P185447,12,9.6
9,15/01/2020,P185447,12,10.8
12,15/01/2020,P513865,24,71.3
6,15/01/2020,P513865,1,4.2
1,15/01/2020,P958288,1224,921.9
4,15/01/2020,P958288,180,156
11,15/01/2020,P185447,24,19.2
12,15/01/2020,P407780,228,623
6,15/01/2020,P105400,28,81.6
11,15/01/2020,P105400,144,392
1,15/01/2020,P407780,264,722
5,15/01/2020,P513865,24,72
1,15/01/2020,P513865,72,214.6
1,15/01/2020,P105400,774,2126.5
4,15/01/2020,P105400,84,229
11,15/01/2020,P407780,144,392
5,15/01/2020,P958288,600,445.5
9,15/01/2020,P513865,24,103.2
5,16/01/2020,P958288,18,13.5
1,16/01/2020,P185447,2100,1256.4
5,16/01/2020,P105400,813,2222
6,16/01/2020,P407780,264,724.8
9,16/01/2020,P105400,582,1627.6
5,16/01/2020,P513865,12,36
11,16/01/2020,P185447,72,43.2
12,16/01/2020,P105400,35,96.25
5,16/01/2020,P185447,2040,1224
6,16/01/2020,P513865,36,112.95
11,16/01/2020,P165627,612,463.2
4,16/01/2020,P513865,48,142.6
1,16/01/2020,P407780,336,950.55
11,16/01/2020,P958288,600,450
6,16/01/2020,P165627,432,341.45
9,16/01/2020,P185447,36,25.2
5,16/01/2020,P165627,4476,3334.5
11,16/01/2020,P407780,24,66
1,16/01/2020,P165627,60,45
4,16/01/2020,P105400,6,16.5
6,16/01/2020,P958288,252,189
12,16/01/2020,P407780,26,77.25
12,16/01/2020,P165627,3048,2263.5
6,16/01/2020,P185447,396,237.6
6,16/01/2020,P105400,90,250.3
6,16/01/2020,P041436,72,213.85
1,16/01/2020,P105400,420,1153
5,16/01/2020,P407780,651,1775.1
4,16/01/2020,P958288,196,174.1
4,16/01/2020,P407780,306,833.5
4,16/01/2020,P165627,120,98.4
9,16/01/2020,P958288,160,134
6,17/01/2020,P407780,331,907.05
4,17/01/2020,P105400,4,11
6,17/01/2020,P513865,960,2994
11,17/01/2020,P407780,220,599
1,17/01/2020,P185447,120,72
4,17/01/2020,P185447,156,93.6
5,17/01/2020,P105400,66,181.5
4,17/01/2020,P407780,24,66
4,17/01/2020,P165627,132,99
11,17/01/2020,P105400,20,55
9,17/01/2020,P105400,720,2010
4,17/01/2020,P958288,72,54
12,17/01/2020,P165627,216,162
12,17/01/2020,P513865,24,71.3
5,17/01/2020,P958288,648,488.7
5,17/01/2020,P165627,1008,760.05
4,17/01/2020,P513865,40,138.5
5,17/01/2020,P185447,60,43.2
11,17/01/2020,P185447,192,117.6
1,17/01/2020,P407780,792,2166
12,17/01/2020,P958288,72,54
12,17/01/2020,P105400,167,457.25
12,17/01/2020,P407780,120,328
6,17/01/2020,P105400,180,491
9,17/01/2020,P165627,2,2.2
1,17/01/2020,P105400,1302,3562.5
5,17/01/2020,P407780,738,2021.5
6,17/01/2020,P185447,204,122.4
9,17/01/2020,P185447,540,333.1
12,17/01/2020,P185447,132,79.2
9,17/01/2020,P958288,14,15.4
5,17/01/2020,P513865,90,267.9
11,17/01/2020,P513865,2,6
1,17/01/2020,P165627,300,225
11,18/01/2020,P407780,96,262
6,18/01/2020,P165627,24,18
5,18/01/2020,P105400,216,590
1,18/01/2020,P407780,834,2293.5
11,18/01/2020,P105400,72,198
11,18/01/2020,P958288,48,36
4,18/01/2020,P513865,24,71.3
5,18/01/2020,P407780,1918,5274.5
5,18/01/2020,P165627,198,156.9
4,18/01/2020,P105400,3,11.7
5,18/01/2020,P185447,36,23.4
6,18/01/2020,P407780,72,196
9,18/01/2020,P105400,144,401.2
5,18/01/2020,P958288,192,152.4
9,18/01/2020,P185447,24,21.6
11,18/01/2020,P513865,6,18
12,18/01/2020,P185447,12,7.2
9,18/01/2020,P958288,181,136.1
12,18/01/2020,P958288,12,9
1,18/01/2020,P105400,1098,3019.5
1,18/01/2020,P958288,180,135
4,18/01/2020,P958288,42,31.5
9,18/01/2020,P513865,48,144.9
11,18/01/2020,P165627,48,40.2
11,18/01/2020,P185447,60,38.4
5,18/01/2020,P513865,120,356.5
6,18/01/2020,P041436,1,4.2
6,18/01/2020,P105400,360,990
9,18/01/2020,P165627,181,136.1
12,18/01/2020,P105400,79,217.25
1,18/01/2020,P165627,900,675
4,18/01/2020,P165627,180,143.4
1,18/01/2020,P185447,252,153.6
12,18/01/2020,P407780,52,143
11,20/01/2020,P165627,192,144
4,20/01/2020,P105400,372,1023
4,20/01/2020,P958288,1200,900
4,20/01/2020,P513865,120,358.6
5,20/01/2020,P185447,288,172.8
12,20/01/2020,P105400,286,780.5
12,20/01/2020,P407780,100,273
6,20/01/2020,P041436,12,36
1,20/01/2020,P407780,576,1582
1,20/01/2020,P185447,372,223.2
4,20/01/2020,P185447,600,356.4
6,20/01/2020,P958288,24,18
12,20/01/2020,P958288,24,18
1,20/01/2020,P105400,798,2190.5
9,20/01/2020,P513865,24,73.2
1,20/01/2020,P958288,744,579
11,20/01/2020,P185447,240,146.4
6,20/01/2020,P105400,35,98.55
11,20/01/2020,P513865,24,71.3
6,20/01/2020,P407780,384,1056
12,20/01/2020,P165627,72,54
12,20/01/2020,P185447,396,237.6
4,20/01/2020,P407780,5904,16228
4,20/01/2020,P165627,1200,900
5,20/01/2020,P105400,132,361
11,20/01/2020,P105400,234,643.5
5,20/01/2020,P407780,636,1733
5,20/01/2020,P165627,654,494
6,20/01/2020,P513865,24,100.8
11,20/01/2020,P407780,450,1231.5
12,20/01/2020,P513865,72,213.9
9,20/01/2020,P105400,510,1426
5,20/01/2020,P958288,376,282
6,20/01/2020,P165627,36,27
11,20/01/2020,P958288,72,54
1,20/01/2020,P165627,816,633
5,20/01/2020,P513865,48,142.6
4,21/01/2020,P407780,1008,2748
4,21/01/2020,P958288,684,508.5
5,21/01/2020,P513865,30,96.5
9,21/01/2020,P105400,792,2217.6
5,21/01/2020,P407780,1320,3614
11,21/01/2020,P165627,60,45
1,21/01/2020,P513865,24,71.3
4,21/01/2020,P513865,48,142.6
6,21/01/2020,P407780,510,1398.5
6,21/01/2020,P165627,600,450
9,21/01/2020,P165627,24,26.4
11,21/01/2020,P958288,48,36
1,21/01/2020,P165627,624,468.55
1,21/01/2020,P958288,12,9.25
6,21/01/2020,P041436,72,213.85
5,21/01/2020,P105400,432,1178
12,21/01/2020,P958288,30,22.5
11,21/01/2020,P407780,48,132
1,21/01/2020,P185447,1200,716.4
4,21/01/2020,P105400,216,592
4,21/01/2020,P185447,120,72
5,21/01/2020,P958288,120,90
6,21/01/2020,P185447,600,360
9,21/01/2020,P407780,1080,3024
9,21/01/2020,P185447,157,141.3
12,21/01/2020,P105400,16,44
12,21/01/2020,P407780,24,66
12,21/01/2020,P165627,66,49.5
9,21/01/2020,P513865,240,732
5,21/01/2020,P185447,546,328.8
1,21/01/2020,P407780,2028,5575.8
4,21/01/2020,P165627,744,553.5
11,21/01/2020,P513865,24,71.3
9,21/01/2020,P958288,12,13.2
11,21/01/2020,P105400,12,33
5,21/01/2020,P165627,156,117
1,21/01/2020,P105400,552,1517.8
12,21/01/2020,P185447,276,165.6
4,22/01/2020,P958288,408,313.8
5,22/01/2020,P185447,104,64
5,22/01/2020,P513865,36,108
1,22/01/2020,P407780,792,2170
9,22/01/2020,P958288,720,540
12,22/01/2020,P958288,36,27
6,22/01/2020,P407780,174,474.5
6,22/01/2020,P165627,24,20.4
9,22/01/2020,P105400,240,672
9,22/01/2020,P165627,840,630
12,22/01/2020,P105400,13,36.9
4,22/01/2020,P105400,144,392
6,22/01/2020,P185447,36,21.6
11,22/01/2020,P407780,342,934.5
4,22/01/2020,P513865,36,121.7
5,22/01/2020,P105400,150,415.45
5,22/01/2020,P407780,588,1764.75
4,22/01/2020,P407780,216,588
1,22/01/2020,P165627,108,81
11,22/01/2020,P105400,151,412.4
6,22/01/2020,P105400,252,691.8
12,22/01/2020,P165627,77,59.2
5,22/01/2020,P958288,840,648
6,22/01/2020,P513865,24,71.3
12,22/01/2020,P407780,8,22
12,22/01/2020,P185447,24,14.4
1,22/01/2020,P958288,276,207
11,22/01/2020,P185447,120,72
5,22/01/2020,P165627,1116,879
4,22/01/2020,P165627,540,405
6,22/01/2020,P958288,36,33.6
9,22/01/2020,P407780,360,1008
9,22/01/2020,P185447,132,80.4
1,22/01/2020,P105400,504,1384
11,22/01/2020,P165627,84,63
4,23/01/2020,P513865,48,142.6
9,23/01/2020,P407780,864,2419.2
12,23/01/2020,P165627,156,117
5,23/01/2020,P165627,60,45
11,23/01/2020,P407780,84,229
1,23/01/2020,P958288,72,54
9,23/01/2020,P513865,54,164.7
1,23/01/2020,P165627,288,216
4,23/01/2020,P407780,522,1433.5
5,23/01/2020,P185447,144,86.4
11,23/01/2020,P105400,12,33
11,23/01/2020,P165627,720,540
12,23/01/2020,P958288,72,54
1,23/01/2020,P513865,60,178.6
4,23/01/2020,P185447,48,28.8
4,23/01/2020,P958288,84,71.4
6,23/01/2020,P513865,12,36
12,23/01/2020,P407780,20,55
12,23/01/2020,P185447,168,100.8
1,23/01/2020,P105400,936,2568
1,23/01/2020,P407780,985,2704.75
4,23/01/2020,P105400,720,1980
4,23/01/2020,P165627,132,115.8
6,23/01/2020,P185447,90,55.8
6,23/01/2020,P407780,36,99
6,23/01/2020,P165627,72,61.8
5,23/01/2020,P513865,48,143.3
5,23/01/2020,P105400,72,198
5,23/01/2020,P407780,396,1081
6,23/01/2020,P105400,72,196
11,23/01/2020,P958288,672,504
11,24/01/2020,P165627,204,157.2
4,24/01/2020,P958288,36,27
1,24/01/2020,P105400,1764,4825
11,24/01/2020,P958288,36,31.2
12,24/01/2020,P185447,638,379.2
4,24/01/2020,P185447,60,36
6,24/01/2020,P407780,312,852
12,24/01/2020,P407780,518,1412.5
12,24/01/2020,P165627,84,63
9,24/01/2020,P958288,600,450
11,24/01/2020,P513865,28,83.3
5,24/01/2020,P105400,240,654
6,24/01/2020,P185447,48,30.7
11,24/01/2020,P407780,90,245.5
6,24/01/2020,P105400,384,1046
6,24/01/2020,P041436,288,855.4
6,24/01/2020,P958288,48,43.8
1,24/01/2020,P165627,480,360
5,24/01/2020,P513865,48,142.6
9,24/01/2020,P105400,312,871.6
9,24/01/2020,P407780,504,1411.2
6,24/01/2020,P513865,6,25.2
12,24/01/2020,P513865,24,72
1,24/01/2020,P958288,120,90
11,24/01/2020,P185447,12,7.2
5,24/01/2020,P407780,450,1225.5
5,24/01/2020,P165627,2100,1561.5
5,24/01/2020,P185447,96,60
11,24/01/2020,P105400,156,425
4,24/01/2020,P105400,231,638.7
6,24/01/2020,P165627,36,31.2
12,24/01/2020,P105400,216,588
1,24/01/2020,P407780,1224,3350
4,24/01/2020,P407780,222,617.4
4,24/01/2020,P165627,48,40.2
5,25/01/2020,P165627,1224,913.2
12,25/01/2020,P105400,12,33
11,25/01/2020,P513865,84,249.9
5,25/01/2020,P185447,24,19.2
11,25/01/2020,P165627,180,135
6,25/01/2020,P958288,24,23.4
4,25/01/2020,P185447,108,67.2
12,25/01/2020,P165627,237,189.3
4,25/01/2020,P105400,42,122.4
4,25/01/2020,P165627,12,13.2
5,25/01/2020,P958288,1212,904.2
12,25/01/2020,P185447,312,187.2
5,25/01/2020,P513865,132,392.5
12,25/01/2020,P958288,12,9
11,25/01/2020,P185447,168,100.8
5,25/01/2020,P105400,36,99
6,25/01/2020,P407780,6,16.5
9,25/01/2020,P407780,1608,4502.4
6,25/01/2020,P165627,36,32.4
9,25/01/2020,P165627,36,27
1,25/01/2020,P105400,327,900.7
11,25/01/2020,P958288,96,72
4,25/01/2020,P407780,12,33
9,25/01/2020,P105400,372,1041.6
4,25/01/2020,P958288,180,135
1,25/01/2020,P958288,636,489.6
11,25/01/2020,P105400,18,49.5
11,25/01/2020,P407780,6,16.5
12,25/01/2020,P407780,22,69.7
1,25/01/2020,P407780,252,693
6,25/01/2020,P185447,132,105.6
1,25/01/2020,P165627,624,476.4
1,27/01/2020,P407780,714,1963.5
4,27/01/2020,P105400,180,495
4,27/01/2020,P165627,1356,1042.2
12,27/01/2020,P185447,384,230.4
6,27/01/2020,P105400,312,850
12,27/01/2020,P105400,37,105.95
5,27/01/2020,P513865,48,142.6
11,27/01/2020,P185447,360,218.4
11,27/01/2020,P513865,24,71.3
4,27/01/2020,P513865,24,71.3
6,27/01/2020,P165627,1440,1080
12,27/01/2020,P165627,36,30.15
4,27/01/2020,P407780,144,396
9,27/01/2020,P185447,1200,720
9,27/01/2020,P105400,2016,5640.8
5,27/01/2020,P407780,156,429
5,27/01/2020,P165627,240,180
6,27/01/2020,P513865,13,39
11,27/01/2020,P165627,24,18
4,27/01/2020,P185447,1260,753.6
12,27/01/2020,P407780,34,93.5
6,27/01/2020,P407780,510,1398.5
9,27/01/2020,P958288,180,135
4,27/01/2020,P958288,696,538.8
5,27/01/2020,P185447,240,146.4
11,27/01/2020,P407780,12,33
5,27/01/2020,P958288,120,90
1,27/01/2020,P105400,768,2110
1,27/01/2020,P165627,372,283.2
6,27/01/2020,P185447,72,43.2
5,27/01/2020,P105400,134,368.8
